type,id,lat,lon,tags/level,tags/name,tags/railway,tags/wheelchair,tags/operator,tags/public_transport,tags/station,tags/subway,tags/website,tags/wikidata,tags/wikipedia,tags/name:de,tags/start_date,tags/door,tags/indoor,tags/stairs,tags/addr:city,tags/source,tags/check_date:wheelchair,tags/highway,tags/addr:postcode,tags/access,tags/elevator,tags/official_name,tags/platforms,tags/entrance,tags/barrier,tags/tactile_paving,tags/bicycle,tags/toilets:wheelchair,tags/network,tags/layer
node,494451978,38.7424084,-9.1683109,,Jardim Zoológico,subway_entrance,,,,,,,,,Zoologischer Garten,,,,,,,,,,,,,,,,,,,,
node,1118902552,38.7066678,-9.1348826,-1,Terreiro do Paço,subway_entrance,no,,,,,,,,,,no,door,,,,,,,,,,,,,,,,,
node,1118902554,38.7074551,-9.13544,-1,Terreiro do Paço,subway_entrance,no,,,,,,Q999002,pt:Praça do Comércio,,,no,door,yes,,,,,,,,,,,,,,,,
node,1118902561,38.713519,-9.1223465,,Santa Apolónia,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1118902564,38.7136445,-9.1222077,,Santa Apolónia,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1118902569,38.7069776,-9.1335978,,Terreiro do Paço,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1119839341,38.7250293,-9.1491337,-1,Acesso 1,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1121125543,38.7245926,-9.1500222,,Acesso 3,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1121125634,38.7246142,-9.1498056,,Acesso 2,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508338,38.7679575,-9.1555852,0;-0.5,Quinta das Conchas,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508342,38.7671253,-9.1553957,0;-0.5,Quinta das Conchas,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508345,38.7728471,-9.1598245,,Lumiar,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508348,38.7483759,-9.1415929,,Roma,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508364,38.713849,-9.1389018,-1,Rossio,subway_entrance,no,,,,,,,,,,no,door,,,,,,,,,,,,,,,,,
node,1122508367,38.7489128,-9.1414876,,Roma,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508368,38.7230385,-9.1353572,,Intendente,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508370,38.7334172,-9.1344205,,Arroios,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508386,38.7728866,-9.1593249,,Lumiar,subway_entrance,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
node,1122508390,38.7150845,-9.1414137,-1,Restauradores,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1122508393,38.7672461,-9.1557582,0;-1,Quinta das Conchas,subway_entrance,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
