id,type,name,latitude,longitude,capacity,access
494335671,node,Parque Mercado 1º de Maio,38.6617648,-9.078788,,
498389597,node,,37.1389827,-8.5330959,15,
507419538,node,Parque da Fábrica da Pólvora,38.739459,-9.2851396,,
512538582,node,,38.7666112,-27.3758205,,
521366468,node,,41.5324338,-8.6183711,,
522787029,node,Quinta das Abertas,40.1031868,-8.5193688,,
534343935,node,,37.5985646,-8.6432478,,
534366950,node,,37.1831467,-8.9111391,10,yes
548115170,node,,32.7076717,-17.1400696,,
552394657,node,,32.7671449,-17.1075337,,
557166373,node,Parque de Estacionamento do Jardim Botânico,32.6636401,-16.8955338,15,customers
557172582,node,Madeira Shopping,32.6598079,-16.9502841,,customers
558805901,node,,32.7551453,-17.2282566,,
570049409,node,,32.6456987,-16.8258118,,
583941696,node,,38.7123451,-9.2138415,,
583952936,node,,38.7119684,-9.2151934,,
596345884,node,,37.1403222,-8.0372064,,
604701275,node,,39.9221839,-7.9124773,,
610536457,node,,38.7317532,-9.1260867,,
617882725,node,,32.7377757,-17.2101052,,
618032314,node,,32.8539431,-17.1546133,,
618846875,node,Poiso,32.712182,-16.8884679,30,
620172836,node,,38.7052519,-9.302607,,
652056938,node,,37.956733,-8.8670832,,
652056945,node,,37.9555226,-8.8688714,,
652056966,node,,37.9573252,-8.8640255,,
652056969,node,,37.9574697,-8.8628907,,
652056971,node,,37.9578314,-8.8627664,,
652847321,node,,37.953862,-8.861071,,
652847323,node,,37.9539784,-8.8615324,,
653972043,node,,39.7435584,-8.8070318,,yes
653972044,node,Parque Jardins do Lis,39.7510629,-8.8056827,,customers
656402472,node,,37.0934333,-8.3092159,,
658363913,node,,37.0806883,-8.2817017,,
658775018,node,,37.0833983,-8.2630072,,
658879598,node,,37.0829936,-8.2593137,,
659913575,node,,37.0855009,-8.266113,,
660183471,node,,37.0851686,-8.3213631,,
660455600,node,,37.0969454,-8.3088339,,
660463336,node,,38.9387397,-9.3275169,,yes
662437715,node,,37.1262345,-8.3016065,,yes
663346626,node,,37.0817527,-8.3169071,2,
665723678,node,,37.5181402,-7.5802557,,
667386968,node,,37.1985336,-8.0042742,,
668093336,node,,37.1396357,-8.7792987,,yes
672214226,node,Parque Agualva Shopping,38.7695862,-9.2969822,,
675616525,node,,33.0669806,-16.3653192,,
679218725,node,Parking Bingo,38.6562195,-9.0623591,,
685354250,node,,37.091552,-8.183079,,yes
688006005,node,,41.1900696,-8.4991373,,
688008530,node,,41.1879643,-8.4865617,,
724848094,node,,40.2037473,-8.4255332,,
738182448,node,,40.2070921,-8.4371181,,customers
739539822,node,,38.7254241,-9.2407015,,
739539825,node,,38.7254827,-9.2401436,,
739539827,node,,38.7255999,-9.2395106,,
739539829,node,,38.7256919,-9.2388776,,
747846260,node,,40.1893159,-8.4001134,,
758601571,node,,38.0134118,-7.8611349,,
759169878,node,,38.0181611,-7.8588269,,
759524118,node,,37.7392478,-25.6707545,,
760687447,node,Parque do Pingo Doce,38.0110241,-7.8558183,,
760687460,node,,38.0114313,-7.8591029,,
762500099,node,Largo da Moita,40.8362753,-7.8960875,,
763163046,node,,37.8205377,-25.5242822,,
763168969,node,,38.0113975,-7.8697133,,
763170322,node,,37.8226523,-25.519779,,
763209208,node,Caldeira Velha,37.7847555,-25.5009305,,
763213730,node,,38.010057,-7.8705271,,
763216973,node,,38.011665,-7.8639859,,
763216974,node,,38.0115317,-7.8650101,,
767997776,node,,38.0059756,-7.8597902,,
767997779,node,,38.0096887,-7.862592,,
768261017,node,,40.1723354,-8.3911723,,
768890649,node,,37.1134355,-8.6614966,,
775229775,node,,37.1046291,-8.6744893,,
775380680,node,,39.8211688,-7.4858224,,
775540988,node,,39.8199936,-7.4864724,172,
778217886,node,Hotel Tivoli,37.1061677,-8.6760536,,
779408002,node,,37.1040727,-8.6740328,4,
787666455,node,,38.5132724,-28.3034266,,
788355616,node,,39.8276923,-7.4926513,,
794161625,node,,38.0119173,-7.869169,,
794358386,node,,38.0159478,-7.8649067,,
794373776,node,,38.0111269,-7.8607402,,
798848417,node,,41.0912218,-7.8025647,,yes
798917367,node,,40.9796763,-7.8864989,,
798927800,node,,40.9448217,-7.8280711,,
799908816,node,,40.277152,-8.1977072,,
801094377,node,,37.1323455,-8.6117562,,
807158995,node,,32.8012049,-17.1154079,,
807160521,node,,32.809235,-17.1151494,,
808484196,node,,37.0875021,-8.7308629,,
825269954,node,,38.5730476,-7.9122627,,yes
851489110,node,,41.49237,-6.2679389,,
861393669,node,,40.3781691,-8.4530193,,
870509085,node,,37.0698281,-8.9192748,,
871718218,node,,37.7497394,-25.6703335,,private
871953214,node,,39.025106,-27.9731287,,
872660638,node,,39.0853102,-27.9993614,,
902613803,node,,32.8164758,-17.0971804,,
902674807,node,,32.7443279,-16.877915,,
902727035,node,,32.7723979,-16.8280028,,
902735373,node,,32.6914454,-16.7837968,,
904959873,node,,32.6491208,-16.8996445,,yes
905158170,node,,32.809234,-17.1968222,,
