id,name,lat,lon,district,county,locality
94-3038,rio tinto,,,,,
94-49163,rochoso,,,,,
94-66035,roma - areeiro,,,,,
94-62422,runa,,,,,
94-29074,ruílhe,,,,,
94-54429,sabugal,,,,,
94-62091,sabugo,,,,,
94-31062,sacavem,,,,,
94-63107,salir do porto,,,,,
94-38125,salreu,,,,,
94-44073,sampaio - oleiros,,,,,
94-44198,sanfins,,,,,
94-40105,santa cita,,,,,
94-77388,santa clara - saboia,,,,,
94-46367,santa comba dao,,,,,
94-60038,santa cruz - damaia,,,,,
94-60038,santa cruz-damaia,,,,,
94-57315,santa eulalia,,,,,
94-31112,santa iria,,,,,
94-51185,santa margarida,,,,,
94-32045,santana - cartaxo,,,,,
94-32185,santarem,,,,,
94-44313,santiago de riba - ul,,,,,
94-69161,santo amaro,,,,,
94-28068,santo tirso,,,,,
94-69013,santos,,,,,
94-4051,sao frutuoso,,,,,
94-21006,sao gemil,,,,,
94-44255,sao joao da madeira,,,,,
94-71159,sao joao das craveiras,,,,,
94-44156,sao joao de ver,,,,,
94-69237,sao joao do estoril,,,,,
94-42093,sao joao loure,,,,,
94-62786,sao mamede,,,,,
94-21048,sao mamede de infesta,,,,,
94-8102,sao martinho do campo,,,,,
94-63131,sao martinho do porto,,,,,
94-18440,sao pedro da torre,,,,,
94-69229,sao pedro do estoril,,,,,
94-4077,sao romao,,,,,
94-62299,sapataria,,,,,
94-52803,sarnadas,,,,,
94-34264,seica - ourem,,,,,
94-18275,seixas,,,,,
94-18234,senhora da agonia,,,,,
94-6312,senhora das neves,,,,,
94-43000,sernada do vouga,,,,,
94-66076,sete rios,,,,,
94-32003,setil,,,,,
94-68122,setubal,,,,,
94-6155,silva,,,,,
94-38422,silvalde,,,,,
94-44032,silvalde - vouga,,,,,
94-90183,silves,,,,,
94-34744,simoes,,,,,
94-61101,sintra,,,,,
94-53264,soalheira,,,,,
94-46185,soito,,,,,
94-40014,soudos - vila nova,,,,,
94-34801,soure,,,,,
94-36087,souselas,,,,,
94-8060,suzao,,,,,
94-29090,tadim,,,,,
94-42127,taipa - requeixo,,,,,
94-6213,tamel,,,,,
94-51086,tancos,,,,,
94-35139,taveiro,,,,,
94-73320,tavira,,,,,
94-8136,terronhas,,,,,
94-52738,tojeirinha,,,,,
94-40154,tomar,,,,,
94-56002,torre das vargens,,,,,
94-62471,torres vedras,,,,,
94-53678,tortosendo,,,,,
94-51243,tramagal,,,,,
94-8151,trancoso,,,,,
94-4010,travagem,,,,,
94-42135,travasso,,,,,
94-4630,trofa,,,,,
94-11007,tua,,,,,
94-78006,tunes,,,,,
94-46045,vacarica,,,,,
94-39115,valadares,,,,,
94-63263,valado - nazare - alcobaca,,,,,
94-32284,vale de figueira,,,,,
94-53397,vale de prazeres,,,,,
94-32102,vale de santarem,,,,,
94-38240,valega,,,,,
94-7005,valenca,,,,,
94-8086,valongo,,,,,
94-42291,valongo - vouga,,,,,
94-11148,vargelas,,,,,
94-68049,venda do alcaide,,,,,
94-72009,vendas novas,,,,,
94-34553,vermoil,,,,,
94-65086,verride,,,,,
94-11197,vesuvio,,,,,
94-18002,viana do castelo,,,,,
71-22308,vigo-guixar,,,,,
94-44206,vila da feira,,,,,
94-28134,vila das aves,,,,,
94-49114,vila fernando,,,,,
94-48546,vila franca das naves,,,,,
94-31278,vila franca de xira,,,,,
94-8433,vila mea,,,,,
94-74278,vila nova da baronia,,,,,
94-31377,vila nova da rainha,,,,,
94-34868,vila nova de ancos,,,,,
94-18341,vila nova de cerveira,,,,,
94-39164,vila nova de gaia - devesas,,,,,
94-35105,vila pouca do campo,,,,,
94-73569,vila real de santo antonio,,,,,
94-52647,vila velha de rodao,,,,,
94-49460,vilar formoso,,,,,
94-36053,vilela - fornos,,,,,
94-33043,virtudes,,,,,
94-28233,vizela,,,,,
94-62331,zibreira,,,,,
