Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"VIA NORTE";"Outro";"Porto";"2,815 €";"DOUROGAS NATURAL";"GNC (gás natural comprimido) - €/m3";"2025-03-28 12:00";"Porto";"R. António Augusto Pinto Félix \nEstação de Recolha da Via Norte";"Paranhos";"4250-010";41.18291;-8.62
"VIA NORTE";"Outro";"Porto";"3,240 €";"DOUROGAS NATURAL";"GNL (gás natural liquefeito) - €/kg";"2025-03-28 12:00";"Porto";"R. António Augusto Pinto Félix \nEstação de Recolha da Via Norte";"Paranhos";"4250-010";41.18291;-8.62
"OZ ENERGIA - FEIJÓ";"Outro";"Almada";"0,904 €";"OZ Energia";"GPL Auto";"2025-03-28 12:00";"Setúbal";"Rua Joaquim Pires Jorge, nº19";"Feijó";"2810-000";38.65323;-9.16733
"OZ ENERGIA - PRIOR VELHO";"Outro";"Loures";"0,904 €";"OZ Energia";"GPL Auto";"2025-03-28 12:00";"Lisboa";"Rua José Fonseca Carvalho,5";"Prior Velho";"2685-869";38.78869;-9.12673
"OZ ENERGIA - MASSAMÁ";"Outro";"Sintra";"0,904 €";"OZ Energia";"GPL Auto";"2025-03-28 12:00";"Lisboa";"Rua Sebastião e Silva Lt E2";"Massamá";"2745-838";38.75085;-9.27538
"TUB";"Outro";"Braga";"2,711 €";"DOUROGAS NATURAL";"GNC (gás natural comprimido) - €/m3";"2025-03-28 12:00";"Braga";"Quinta de Stª Maria - Maximinos";"Maximinos";"4700-244";41.541294;-8.435421
"OZ ENERGIA - TERRUGEM";"Outro";"Sintra";"0,904 €";"OZ Energia";"GPL Auto";"2025-03-28 12:05";"Lisboa";"Av. da Aviação Portuguesa, nº 110";"Vila Verde - Terrugem";"2705-845";38.835151;-9.358621
"SOBREIRA";"Outro";"Paredes";"1,641 €";"CEPSA";"Gasóleo simples";"2025-03-28 15:50";"Porto";"Rua do Arco nº165";"Sobreira";"4585-689";41.15292;-8.39467
"SOBREIRA";"Outro";"Paredes";"1,691 €";"CEPSA";"Gasóleo especial";"2025-03-28 15:50";"Porto";"Rua do Arco nº165";"Sobreira";"4585-689";41.15292;-8.39467
"SOBREIRA";"Outro";"Paredes";"1,226 €";"CEPSA";"Gasóleo colorido";"2025-03-28 15:50";"Porto";"Rua do Arco nº165";"Sobreira";"4585-689";41.15292;-8.39467
"SOBREIRA";"Outro";"Paredes";"1,766 €";"CEPSA";"Gasolina simples 95";"2025-03-28 15:50";"Porto";"Rua do Arco nº165";"Sobreira";"4585-689";41.15292;-8.39467
"POLISVARIANTE";"Outro";"Fafe";"1,664 €";"Genérico";"Gasóleo simples";"2025-03-28 16:05";"Braga";"Rua de Várzea";"Silvares São Martinho";"4820-715";41.4041;-8.16035
"POLISVARIANTE";"Outro";"Fafe";"1,249 €";"Genérico";"Gasóleo colorido";"2025-03-28 16:05";"Braga";"Rua de Várzea";"Silvares São Martinho";"4820-715";41.4041;-8.16035
"POLISVARIANTE";"Outro";"Fafe";"1,739 €";"Genérico";"Gasolina simples 95";"2025-03-28 16:05";"Braga";"Rua de Várzea";"Silvares São Martinho";"4820-715";41.4041;-8.16035
"POLISVARIANTE";"Outro";"Fafe";"1,899 €";"Genérico";"Gasolina 98";"2025-03-28 16:05";"Braga";"Rua de Várzea";"Silvares São Martinho";"4820-715";41.4041;-8.16035
"POLISVARIANTE";"Outro";"Fafe";"1,719 €";"Genérico";"Gasóleo especial";"2025-03-28 16:05";"Braga";"Rua de Várzea";"Silvares São Martinho";"4820-715";41.4041;-8.16035
"MOTOPAL - PAULO LOURENÇO, UNIP,LDA";"Outro";"Oliveira de Frades";"1,644 €";"ALVES BANDEIRA";"Gasóleo simples";"2025-03-28 16:20";"Viseu";"R. Principal Cajadães";"SÃO VICENTE DE LAFÕES";"3680-281";40.706636;-8.168476
"MOTOPAL - PAULO LOURENÇO, UNIP,LDA";"Outro";"Oliveira de Frades";"1,244 €";"ALVES BANDEIRA";"Gasóleo colorido";"2025-03-28 16:20";"Viseu";"R. Principal Cajadães";"SÃO VICENTE DE LAFÕES";"3680-281";40.706636;-8.168476
"MOTOPAL - PAULO LOURENÇO, UNIP,LDA";"Outro";"Oliveira de Frades";"1,599 €";"ALVES BANDEIRA";"Gasóleo de aquecimento";"2025-03-28 16:20";"Viseu";"R. Principal Cajadães";"SÃO VICENTE DE LAFÕES";"3680-281";40.706636;-8.168476
"MOTOPAL - PAULO LOURENÇO, UNIP,LDA";"Outro";"Oliveira de Frades";"1,759 €";"ALVES BANDEIRA";"Gasolina simples 95";"2025-03-28 16:20";"Viseu";"R. Principal Cajadães";"SÃO VICENTE DE LAFÕES";"3680-281";40.706636;-8.168476
"MOTOPAL - PAULO LOURENÇO, UNIP,LDA";"Outro";"Oliveira de Frades";"1,909 €";"ALVES BANDEIRA";"Gasolina 98";"2025-03-28 16:20";"Viseu";"R. Principal Cajadães";"SÃO VICENTE DE LAFÕES";"3680-281";40.706636;-8.168476
"EULUPEPNEUS-UNIPESSOAL, LDA";"Outro";"Torres Novas";"0,970 €";"Genérico";"GPL Auto";"2025-03-28 16:40";"Santarém";"ESTRADA NACIONAL 3 - PONTE NOVA ( JUNTO AO TORRESHOPING )";"Ponte Nova";"2350-466";39.46501;-8.5258
"P.A. VILA REAL I";"Outro";"Vila Real";"1,621 €";"CEPSA";"Gasóleo simples";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"P.A. VILA REAL I";"Outro";"Vila Real";"1,671 €";"CEPSA";"Gasóleo especial";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"P.A. VILA REAL I";"Outro";"Vila Real";"1,226 €";"CEPSA";"Gasóleo colorido";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"P.A. VILA REAL I";"Outro";"Vila Real";"1,746 €";"CEPSA";"Gasolina simples 95";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"P.A. VILA REAL I";"Outro";"Vila Real";"1,796 €";"CEPSA";"Gasolina especial 95";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"P.A. VILA REAL I";"Outro";"Vila Real";"1,958 €";"CEPSA";"Gasolina especial 98";"2025-03-28 17:35";"Vila Real";"Av. da Noruega";"Vila Real";"5000-000";41.30015;-7.752754
"A24 VIDAGO";"Auto-estrada";"Chaves";"1,703 €";"OZ Energia";"Gasóleo simples";"2025-03-28 17:40";"Vila Real";"A24 (Lanço Chaves/Pedras Salgadas)";"Vilarinho das Paranheiras";"5425-401";41.68647;-7.56336
"A24 VIDAGO";"Auto-estrada";"Chaves";"1,593 €";"OZ Energia";"Gasóleo especial";"2025-03-28 17:40";"Vila Real";"A24 (Lanço Chaves/Pedras Salgadas)";"Vilarinho das Paranheiras";"5425-401";41.68647;-7.56336
"A24 VIDAGO";"Auto-estrada";"Chaves";"1,828 €";"OZ Energia";"Gasolina simples 95";"2025-03-28 17:40";"Vila Real";"A24 (Lanço Chaves/Pedras Salgadas)";"Vilarinho das Paranheiras";"5425-401";41.68647;-7.56336
"A24 VIDAGO";"Auto-estrada";"Chaves";"2,038 €";"OZ Energia";"Gasolina especial 98";"2025-03-28 17:40";"Vila Real";"A24 (Lanço Chaves/Pedras Salgadas)";"Vilarinho das Paranheiras";"5425-401";41.68647;-7.56336
"A24 CASTRO DAIRE";"Auto-estrada";"Castro Daire";"1,703 €";"OZ Energia";"Gasóleo simples";"2025-03-28 17:40";"Viseu";"A24 Castro Daire Norte";"Mezio";"3600-403";40.940278;-7.9075
"A24 CASTRO DAIRE";"Auto-estrada";"Castro Daire";"1,593 €";"OZ Energia";"Gasóleo especial";"2025-03-28 17:40";"Viseu";"A24 Castro Daire Norte";"Mezio";"3600-403";40.940278;-7.9075
"A24 CASTRO DAIRE";"Auto-estrada";"Castro Daire";"1,828 €";"OZ Energia";"Gasolina simples 95";"2025-03-28 17:40";"Viseu";"A24 Castro Daire Norte";"Mezio";"3600-403";40.940278;-7.9075
"A24 VILA REAL";"Auto-estrada";"Vila Real";"1,703 €";"OZ Energia";"Gasóleo simples";"2025-03-28 17:40";"Vila Real";"A24 (Fortunho-Vila Real)";"Mouçós";"5000-367";41.338056;-7.705556
"A24 VILA REAL";"Auto-estrada";"Vila Real";"1,593 €";"OZ Energia";"Gasóleo especial";"2025-03-28 17:40";"Vila Real";"A24 (Fortunho-Vila Real)";"Mouçós";"5000-367";41.338056;-7.705556
"A24 VILA REAL";"Auto-estrada";"Vila Real";"1,828 €";"OZ Energia";"Gasolina simples 95";"2025-03-28 17:40";"Vila Real";"A24 (Fortunho-Vila Real)";"Mouçós";"5000-367";41.338056;-7.705556
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,593 €";"Genérico";"Gasóleo especial";"2025-03-28 17:40";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,828 €";"Genérico";"Gasolina simples 95";"2025-03-28 17:40";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,039 €";"Genérico";"GPL Auto";"2025-03-28 17:40";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,728 €";"Genérico";"Gasolina especial 95";"2025-03-28 17:40";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"A24 CASTRO DAIRE";"Auto-estrada";"Castro Daire";"1,728 €";"OZ Energia";"Gasolina especial 95";"2025-03-28 17:40";"Viseu";"A24 Castro Daire Norte";"Mezio";"3600-403";40.940278;-7.9075
"Petromoura";"Outro";"Moura";"1,684 €";"Genérico";"Gasóleo simples";"2025-03-28 20:20";"Beja";"R. Engenheiro Armando Almeida Manso";"Moura";"7860-000";38.13886;-7.44544
"Petromoura";"Outro";"Moura";"1,714 €";"Genérico";"Gasóleo especial";"2025-03-28 20:20";"Beja";"R. Engenheiro Armando Almeida Manso";"Moura";"7860-000";38.13886;-7.44544
"Petromoura";"Outro";"Moura";"1,259 €";"Genérico";"Gasóleo colorido";"2025-03-28 20:20";"Beja";"R. Engenheiro Armando Almeida Manso";"Moura";"7860-000";38.13886;-7.44544
"Petromoura";"Outro";"Moura";"1,789 €";"Genérico";"Gasolina simples 95";"2025-03-28 20:20";"Beja";"R. Engenheiro Armando Almeida Manso";"Moura";"7860-000";38.13886;-7.44544
"Petromoura";"Outro";"Moura";"2,000 €";"Genérico";"Gasolina 98";"2025-03-28 20:20";"Beja";"R. Engenheiro Armando Almeida Manso";"Moura";"7860-000";38.13886;-7.44544
"Lupins";"Outro";"Leiria";"1,669 €";"Genérico";"Gasóleo especial";"2025-03-28 22:35";"Leiria";"Rua da Bidoeira, nº 146";"Barracão";"2420-195";39.82772;-8.7244
"Lupins";"Outro";"Leiria";"1,619 €";"Genérico";"Gasóleo simples";"2025-03-28 22:35";"Leiria";"Rua da Bidoeira, nº 146";"Barracão";"2420-195";39.82772;-8.7244
"Lupins";"Outro";"Leiria";"1,789 €";"Genérico";"Gasolina 98";"2025-03-28 22:35";"Leiria";"Rua da Bidoeira, nº 146";"Barracão";"2420-195";39.82772;-8.7244
"Lupins";"Outro";"Leiria";"1,729 €";"Genérico";"Gasolina simples 95";"2025-03-28 22:35";"Leiria";"Rua da Bidoeira, nº 146";"Barracão";"2420-195";39.82772;-8.7244
"A22 SILVES ( LGS / FAR ) SUL ";"Auto-estrada";"Silves";"1,754 €";"CEPSA";"Gasóleo simples";"2025-03-29 01:30";"Faro";"A22 - Via do Infante de Sagres, km 34";"Silves";"8400-000";37.15133785;-8.428372188
"A22 SILVES ( LGS / FAR ) SUL ";"Auto-estrada";"Silves";"1,804 €";"CEPSA";"Gasóleo especial";"2025-03-29 01:30";"Faro";"A22 - Via do Infante de Sagres, km 34";"Silves";"8400-000";37.15133785;-8.428372188
"A22 SILVES ( LGS / FAR ) SUL ";"Auto-estrada";"Silves";"1,884 €";"CEPSA";"Gasolina simples 95";"2025-03-29 01:30";"Faro";"A22 - Via do Infante de Sagres, km 34";"Silves";"8400-000";37.15133785;-8.428372188
"A22 SILVES ( LGS / FAR ) SUL ";"Auto-estrada";"Silves";"2,096 €";"CEPSA";"Gasolina especial 98";"2025-03-29 01:30";"Faro";"A22 - Via do Infante de Sagres, km 34";"Silves";"8400-000";37.15133785;-8.428372188
"BP MARMELETE";"Outro";"Monchique";"1,599 €";"BP";"Gasóleo simples";"2025-03-29 06:30";"Faro";"EN 267";"Marmelete";"8550-000";37.31154;-8.66628
"BP MARMELETE";"Outro";"Monchique";"1,839 €";"BP";"Gasóleo especial";"2025-03-29 06:30";"Faro";"EN 267";"Marmelete";"8550-000";37.31154;-8.66628
"BP MARMELETE";"Outro";"Monchique";"1,229 €";"BP";"Gasóleo colorido";"2025-03-29 06:30";"Faro";"EN 267";"Marmelete";"8550-000";37.31154;-8.66628
"BP MARMELETE";"Outro";"Monchique";"1,704 €";"BP";"Gasolina simples 95";"2025-03-29 06:30";"Faro";"EN 267";"Marmelete";"8550-000";37.31154;-8.66628
"BP MARMELETE";"Outro";"Monchique";"2,044 €";"BP";"Gasolina especial 98";"2025-03-29 06:30";"Faro";"EN 267";"Marmelete";"8550-000";37.31154;-8.66628
"BP MONCHIQUE";"Outro";"Monchique";"1,599 €";"BP";"Gasóleo simples";"2025-03-29 07:00";"Faro";"E.N. 266";"MONCHIQUE";"8550-328";37.31109;-8.55654
"BP MONCHIQUE";"Outro";"Monchique";"1,839 €";"BP";"Gasóleo especial";"2025-03-29 07:00";"Faro";"E.N. 266";"MONCHIQUE";"8550-328";37.31109;-8.55654
"BP MONCHIQUE";"Outro";"Monchique";"1,229 €";"BP";"Gasóleo colorido";"2025-03-29 07:00";"Faro";"E.N. 266";"MONCHIQUE";"8550-328";37.31109;-8.55654
"BP MONCHIQUE";"Outro";"Monchique";"1,704 €";"BP";"Gasolina simples 95";"2025-03-29 07:00";"Faro";"E.N. 266";"MONCHIQUE";"8550-328";37.31109;-8.55654
"J.J. CORREIA";"Outro";"Lourinhã";"1,239 €";"OZ Energia";"Gasóleo colorido";"2025-03-29 08:20";"Lisboa";"EN 247-1 Km 8,5";"Reguengo Pequeno";"2530-694";39.27987;-9.24043
"J.J. CORREIA";"Outro";"Lourinhã";"1,699 €";"OZ Energia";"Gasóleo especial";"2025-03-29 08:20";"Lisboa";"EN 247-1 Km 8,5";"Reguengo Pequeno";"2530-694";39.27987;-9.24043
"J.J. CORREIA";"Outro";"Lourinhã";"1,649 €";"OZ Energia";"Gasóleo simples";"2025-03-29 08:20";"Lisboa";"EN 247-1 Km 8,5";"Reguengo Pequeno";"2530-694";39.27987;-9.24043
"J.J. CORREIA";"Outro";"Lourinhã";"1,939 €";"OZ Energia";"Gasolina 98";"2025-03-29 08:20";"Lisboa";"EN 247-1 Km 8,5";"Reguengo Pequeno";"2530-694";39.27987;-9.24043
"J.J. CORREIA";"Outro";"Lourinhã";"1,759 €";"OZ Energia";"Gasolina simples 95";"2025-03-29 08:20";"Lisboa";"EN 247-1 Km 8,5";"Reguengo Pequeno";"2530-694";39.27987;-9.24043
"INTERMARCHÉ VILA NOVA DA TELHA";"Outro";"Maia";"1,568 €";"INTERMARCHÉ";"Gasóleo simples";"2025-03-29 09:30";"Porto";"RUA DA FÁBRICA, 274";"VILA NOVA DA TELHA";"4470-768";41.25007;-8.66575
"INTERMARCHÉ VILA NOVA DA TELHA";"Outro";"Maia";"1,598 €";"INTERMARCHÉ";"Gasóleo especial";"2025-03-29 09:30";"Porto";"RUA DA FÁBRICA, 274";"VILA NOVA DA TELHA";"4470-768";41.25007;-8.66575
"INTERMARCHÉ VILA NOVA DA TELHA";"Outro";"Maia";"1,648 €";"INTERMARCHÉ";"Gasolina simples 95";"2025-03-29 09:30";"Porto";"RUA DA FÁBRICA, 274";"VILA NOVA DA TELHA";"4470-768";41.25007;-8.66575
"INTERMARCHÉ VILA NOVA DA TELHA";"Outro";"Maia";"1,898 €";"INTERMARCHÉ";"Gasolina 98";"2025-03-29 09:30";"Porto";"RUA DA FÁBRICA, 274";"VILA NOVA DA TELHA";"4470-768";41.25007;-8.66575
"BP AVANCA";"Outro";"Estarreja";"2,044 €";"BP";"Gasolina 98";"2025-03-29 12:15";"Aveiro";"R. do Falcão, E.N. 109 - Km 44.3";"Avanca";"3860-060";40.78542;-8.56619
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,694 €";"LUBRIDÃO";"Gasóleo simples";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,714 €";"LUBRIDÃO";"Gasóleo especial";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,229 €";"LUBRIDÃO";"Gasóleo colorido";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,610 €";"LUBRIDÃO";"Gasóleo de aquecimento";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,809 €";"LUBRIDÃO";"Gasolina simples 95";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"2,700 €";"LUBRIDÃO";"Gasolina de mistura (motores a 2 tempos)";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"POSTO ABEL CANADINHAS";"Outro";"Meda";"1,959 €";"LUBRIDÃO";"Gasolina 98";"2025-03-30 00:00";"Guarda";"EN 331 Km 42,8";"Meda";"6430-105";40.96238;-7.2559
"R STAR - LOUREIRO";"Outro";"Oliveira de Azeméis";"1,588 €";"Genérico";"Gasóleo simples";"2025-03-30 00:00";"Aveiro";"Rua da Indústria";"Loureiro - Alumieira";"3720-051";40.812525;-8.532844
"R STAR - LOUREIRO";"Outro";"Oliveira de Azeméis";"1,618 €";"Genérico";"Gasóleo especial";"2025-03-30 00:00";"Aveiro";"Rua da Indústria";"Loureiro - Alumieira";"3720-051";40.812525;-8.532844
"R STAR - LOUREIRO";"Outro";"Oliveira de Azeméis";"1,140 €";"Genérico";"Gasóleo colorido";"2025-03-30 00:00";"Aveiro";"Rua da Indústria";"Loureiro - Alumieira";"3720-051";40.812525;-8.532844
"R STAR - LOUREIRO";"Outro";"Oliveira de Azeméis";"1,700 €";"Genérico";"Gasolina simples 95";"2025-03-30 00:00";"Aveiro";"Rua da Indústria";"Loureiro - Alumieira";"3720-051";40.812525;-8.532844
"R STAR - LOUREIRO";"Outro";"Oliveira de Azeméis";"1,860 €";"Genérico";"Gasolina 98";"2025-03-30 00:00";"Aveiro";"Rua da Indústria";"Loureiro - Alumieira";"3720-051";40.812525;-8.532844
"CEPSA MARCO";"Outro";"Marco de Canaveses";"1,653 €";"CEPSA";"Gasóleo simples";"2025-03-30 00:00";"Porto";"Rua Manuel Pereira Soares";"Marco de Canaveses";"4630-296";41.182724;-8.146876
"CEPSA MARCO";"Outro";"Marco de Canaveses";"1,721 €";"CEPSA";"Gasóleo especial";"2025-03-30 00:00";"Porto";"Rua Manuel Pereira Soares";"Marco de Canaveses";"4630-296";41.182724;-8.146876
"CEPSA MARCO";"Outro";"Marco de Canaveses";"1,206 €";"CEPSA";"Gasóleo colorido";"2025-03-30 00:00";"Porto";"Rua Manuel Pereira Soares";"Marco de Canaveses";"4630-296";41.182724;-8.146876
"CEPSA MARCO";"Outro";"Marco de Canaveses";"1,758 €";"CEPSA";"Gasolina simples 95";"2025-03-30 00:00";"Porto";"Rua Manuel Pereira Soares";"Marco de Canaveses";"4630-296";41.182724;-8.146876
"CEPSA MARCO";"Outro";"Marco de Canaveses";"1,988 €";"CEPSA";"Gasolina especial 98";"2025-03-30 00:00";"Porto";"Rua Manuel Pereira Soares";"Marco de Canaveses";"4630-296";41.182724;-8.146876
"BP MASSAMÁ";"Outro";"Sintra";"1,719 €";"BP";"Gasóleo simples";"2025-03-30 00:00";"Lisboa";"Rua Cidade Desportiva";"Queluz - Monte Abraão";"2745-000";38.753548;-9.268211
"BP MASSAMÁ";"Outro";"Sintra";"1,839 €";"BP";"Gasóleo especial";"2025-03-30 00:00";"Lisboa";"Rua Cidade Desportiva";"Queluz - Monte Abraão";"2745-000";38.753548;-9.268211
"BP MASSAMÁ";"Outro";"Sintra";"1,834 €";"BP";"Gasolina simples 95";"2025-03-30 00:00";"Lisboa";"Rua Cidade Desportiva";"Queluz - Monte Abraão";"2745-000";38.753548;-9.268211
"BP MASSAMÁ";"Outro";"Sintra";"2,044 €";"BP";"Gasolina especial 98";"2025-03-30 00:00";"Lisboa";"Rua Cidade Desportiva";"Queluz - Monte Abraão";"2745-000";38.753548;-9.268211
"BP ALMODOVAR";"Outro";"Almodôvar";"1,229 €";"BP";"Gasóleo colorido";"2025-03-30 00:00";"Beja";"Cerca da Junqueira";"Almodôvar";"7700-094";37.51592;-8.04584
"BP ALMODOVAR";"Outro";"Almodôvar";"1,839 €";"BP";"Gasóleo especial";"2025-03-30 00:00";"Beja";"Cerca da Junqueira";"Almodôvar";"7700-094";37.51592;-8.04584
"BP ALMODOVAR";"Outro";"Almodôvar";"1,719 €";"BP";"Gasóleo simples";"2025-03-30 00:00";"Beja";"Cerca da Junqueira";"Almodôvar";"7700-094";37.51592;-8.04584
"BP ALMODOVAR";"Outro";"Almodôvar";"2,044 €";"BP";"Gasolina especial 98";"2025-03-30 00:00";"Beja";"Cerca da Junqueira";"Almodôvar";"7700-094";37.51592;-8.04584
"BP ALMODOVAR";"Outro";"Almodôvar";"1,834 €";"BP";"Gasolina simples 95";"2025-03-30 00:00";"Beja";"Cerca da Junqueira";"Almodôvar";"7700-094";37.51592;-8.04584
"Prio Santa Bárbara de Nexe";"Outro";"Faro";"1,229 €";"PRIO";"Gasóleo colorido";"2025-03-30 00:00";"Faro";"Rua de São Brás";"Santa Bárbara de Nexe";"8005-491";37.104127;-7.962015
"Prio Santa Bárbara de Nexe";"Outro";"Faro";"1,654 €";"PRIO";"Gasóleo especial";"2025-03-30 00:00";"Faro";"Rua de São Brás";"Santa Bárbara de Nexe";"8005-491";37.104127;-7.962015
"Prio Santa Bárbara de Nexe";"Outro";"Faro";"1,704 €";"PRIO";"Gasóleo simples";"2025-03-30 00:00";"Faro";"Rua de São Brás";"Santa Bárbara de Nexe";"8005-491";37.104127;-7.962015
"Prio Santa Bárbara de Nexe";"Outro";"Faro";"1,769 €";"PRIO";"Gasolina especial 95";"2025-03-30 00:00";"Faro";"Rua de São Brás";"Santa Bárbara de Nexe";"8005-491";37.104127;-7.962015
"Prio Santa Bárbara de Nexe";"Outro";"Faro";"1,809 €";"PRIO";"Gasolina simples 95";"2025-03-30 00:00";"Faro";"Rua de São Brás";"Santa Bárbara de Nexe";"8005-491";37.104127;-7.962015
"ENERGY PENAFIEL";"Outro";"Penafiel";"0,990 €";"Genérico";"GPL Auto";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"ENERGY PENAFIEL";"Outro";"Penafiel";"1,598 €";"Genérico";"Gasóleo simples";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"ENERGY PENAFIEL";"Outro";"Penafiel";"1,628 €";"Genérico";"Gasóleo especial";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"ENERGY PENAFIEL";"Outro";"Penafiel";"1,710 €";"Genérico";"Gasolina simples 95";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"ENERGY PENAFIEL";"Outro";"Penafiel";"1,740 €";"Genérico";"Gasolina especial 95";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"ENERGY PENAFIEL";"Outro";"Penafiel";"1,870 €";"Genérico";"Gasolina 98";"2025-03-30 00:00";"Porto";"Av. Cavalum Milhundos";"Penafiel";"4560-492";41.20923;-8.27103
"BP Lagoa Parchal";"Outro";"Lagoa";"1,689 €";"BP";"Gasóleo simples";"2025-03-30 00:00";"Faro";"Acesso Porto de Pesca do Rio Arade";"Parchal";"8501-909";37.135825;-8.523515
"BP Lagoa Parchal";"Outro";"Lagoa";"1,839 €";"BP";"Gasóleo especial";"2025-03-30 00:00";"Faro";"Acesso Porto de Pesca do Rio Arade";"Parchal";"8501-909";37.135825;-8.523515
"BP Lagoa Parchal";"Outro";"Lagoa";"1,804 €";"BP";"Gasolina simples 95";"2025-03-30 00:00";"Faro";"Acesso Porto de Pesca do Rio Arade";"Parchal";"8501-909";37.135825;-8.523515
"BP Lagoa Parchal";"Outro";"Lagoa";"2,044 €";"BP";"Gasolina especial 98";"2025-03-30 00:00";"Faro";"Acesso Porto de Pesca do Rio Arade";"Parchal";"8501-909";37.135825;-8.523515
"MIDO COMBUSTIVÉIS LDA";"Outro";"Tábua";"1,970 €";"GALP";"Gasolina 98";"2025-03-30 00:00";"Coimbra";"Estrada de S. Miguel";"Midões";"3420-136";40.38648;-7.94523
"MIDO COMBUSTIVÉIS LDA";"Outro";"Tábua";"1,653 €";"GALP";"Gasóleo simples";"2025-03-30 00:00";"Coimbra";"Estrada de S. Miguel";"Midões";"3420-136";40.38648;-7.94523
"MIDO COMBUSTIVÉIS LDA";"Outro";"Tábua";"1,673 €";"GALP";"Gasóleo especial";"2025-03-30 00:00";"Coimbra";"Estrada de S. Miguel";"Midões";"3420-136";40.38648;-7.94523
"MIDO COMBUSTIVÉIS LDA";"Outro";"Tábua";"1,765 €";"GALP";"Gasolina simples 95";"2025-03-30 00:00";"Coimbra";"Estrada de S. Miguel";"Midões";"3420-136";40.38648;-7.94523
"Auto Júlio - Alcoutim";"Outro";"Alcoutim";"1,140 €";"AUTO JULIO";"Gasóleo colorido";"2025-03-30 00:00";"Faro";"SI Cruzamento Alcoutim lote nº 20";"Alcoutim";"8970-022";37.46842;-7.47427
"Auto Júlio - Alcoutim";"Outro";"Alcoutim";"1,613 €";"AUTO JULIO";"Gasóleo simples";"2025-03-30 00:00";"Faro";"SI Cruzamento Alcoutim lote nº 20";"Alcoutim";"8970-022";37.46842;-7.47427
"Auto Júlio - Alcoutim";"Outro";"Alcoutim";"1,730 €";"AUTO JULIO";"Gasolina simples 95";"2025-03-30 00:00";"Faro";"SI Cruzamento Alcoutim lote nº 20";"Alcoutim";"8970-022";37.46842;-7.47427
"BP SALVATERRA DE MAGOS CENTRO";"Outro";"Salvaterra de Magos";"1,659 €";"BP";"Gasóleo simples";"2025-03-30 00:00";"Santarém";"EN118, Nr.194 ";"Salvaterra de Magos";"2120-119";39.021678;-8.794558
"BP SALVATERRA DE MAGOS CENTRO";"Outro";"Salvaterra de Magos";"1,764 €";"BP";"Gasolina simples 95";"2025-03-30 00:00";"Santarém";"EN118, Nr.194 ";"Salvaterra de Magos";"2120-119";39.021678;-8.794558
